Key,IsCommon,IsRetired
1,TRUE,FALSE
2,TRUE,FALSE
3,TRUE,FALSE
4,TRUE,FALSE
5,TRUE,FALSE
6,TRUE,FALSE
7,TRUE,FALSE
8,TRUE,FALSE
9,TRUE,FALSE
10,TRUE,FALSE
11,TRUE,FALSE
12,TRUE,FALSE
13,TRUE,FALSE
14,TRUE,FALSE
15,TRUE,FALSE
16,TRUE,FALSE
17,TRUE,FALSE
18,TRUE,FALSE
19,TRUE,FALSE
20,TRUE,FALSE
21,TRUE,FALSE
22,TRUE,FALSE
23,TRUE,TRUE
24,TRUE,TRUE
25,TRUE,TRUE
26,TRUE,TRUE
27,TRUE,TRUE
28,TRUE,TRUE
29,TRUE,TRUE
30,TRUE,TRUE
31,TRUE,TRUE
32,TRUE,TRUE
33,TRUE,TRUE
34,TRUE,TRUE
35,TRUE,TRUE
36,TRUE,FALSE
37,TRUE,FALSE
38,TRUE,FALSE
39,TRUE,FALSE
13569,TRUE,FALSE
13570,TRUE,FALSE
13571,TRUE,FALSE
13572,TRUE,FALSE
13573,TRUE,FALSE
13574,TRUE,FALSE
